text,label,split,label_text
kalau dari pengalamanku overall masih oke untuk harga segini,1,train,neutral
jujur ya adminnya susah dihubungi!,0,train,negative
kalau dari pengalamanku overall masih oke untuk harga segini...,1,train,neutral
produk ini beneran bagus buat pemakaian harian,2,train,positive
buatku produk ini standar dari pengalaman pertama sih,1,train,neutral
buatku recommended banget dari segi fitur sih,2,train,positive
kalau dari pengalamanku kualitasnya mantap dari segi fitur buatku.,2,train,positive
buatku packaging rusak waktu sampai untuk harga segini buatku,0,train,negative
tidak recommended buat pemakaian harian buatku,0,train,negative
kalau dari pengalamanku dipakai harian tetap nyaman dari pengalaman pertama sih,2,train,positive
buatku adminnya responsif dan ramah sih,2,train,positive
buatku fiturnya sangat membantu buat pemakaian harian,2,train,positive
overall masih oke untuk harga segini buat pemakaian harian ya!,1,train,neutral
buatku barang ini standar dari pengalaman pertama sih...,1,train,neutral
kalau dari pengalamanku fiturnya cukup membantu sih,1,train,neutral
review singkat kwalitasnya lumayan buat pemakaian harian banget,1,train,neutral
menurutku harga tidak sebanding dari segi fitur sih,0,train,negative
review singkat saya tidak puas untuk harga segini sih,0,train,negative
jujur ya packaging rusak waktu sampai dari segi fitur bgt,0,train,negative
kalau dari pengalamanku pengiriman sesuai estimasi buat pemakaian harian menurutku,1,train,neutral
menurutku sejauh ini aman tapi belum spesial.,1,train,neutral
review singkat servis cukup biasa dari pengalaman pertama,1,train,neutral
kalau dari pengalamanku harga tidak sebanding dari pengalaman pertama sih,0,train,negative
review singkat fiturnya cukup membantu untuk harga segini,1,train,neutral
buatku harga masih oke untuk harga segini menurutku,1,train,neutral
jujur ya dipakai sebentar langsung bermasalah dari pengalaman pertama menurutku,0,train,negative
review singkat produk ini standar untuk harga segini menurutku,1,train,neutral
buatku pelayanan sangat lambat ya,0,train,negative
review singkat saya suka hasilnya buat pemakaian harian sih,2,train,positive
review singkat harga masih oke dari pengalaman pertama,1,train,neutral
menurutku pelayanan cukup biasa dari pengalaman pertama.,1,train,neutral
harga masih oke banget,1,train,neutral
buatku produk ini sangat bagus dari segi fitur,2,train,positive
kalau dari pengalamanku packaging rusak waktu sampai dari pengalaman pertama sih,0,train,negative
kalau dari pengalamanku pelayanan cukup biasa dari segi fitur!,1,train,neutral
review singkat dipakai harian tetap nyaman untuk harga segini buatku,2,train,positive
jujur ya fiturnya sering error buat pemakaian harian sih,0,train,negative
kalau dari pengalamanku saya suka hasilnya dari pengalaman pertama banget,2,train,positive
kualitasnya lumayan buat pemakaian harian menurutku.,1,train,neutral
jujur ya kwalitasnya lumayan dari pengalaman pertama ya...,1,train,neutral
jujur ya adminnya responsif dan ramah untuk harga segini banget.,2,train,positive
jujur ya pengalaman saya biasa saja dari pengalaman pertama ya,1,train,neutral
review singkat recommended banget untuk harga segini buatku,2,train,positive
review singkat produk ini standar untuk harga segini bgt!,1,train,neutral
buatku pengalaman saya biasa saja untuk harga segini menurutku,1,train,neutral
kalau dari pengalamanku dipakai harian tetap nyaman menurutku!,2,train,positive
harga tidak sebanding buat pemakaian harian ya,0,train,negative
pelayanan sangat lambat,0,train,negative
kalau dari pengalamanku harga sesuai kualitas buatku,2,train,positive
jujur ya fiturnya sering error ya,0,train,negative
buatku fiturnya cukup membantu dari pengalaman pertama banget,1,train,neutral
jujur ya servis sangat lambat dari pengalaman pertama,0,train,negative
buatku fiturnya jalan sesuai deskripsi dari pengalaman pertama ya,1,train,neutral
buatku barang datang dalam kondisi jelek dari segi fitur banget,0,train,negative
review singkat tidak recommended untuk harga segini ya,0,train,negative
buatku pengiriman terlambat dari pengalaman pertama menurutku,0,train,negative
harga tidak sebanding untuk harga segini banget.,0,train,negative
kalau dari pengalamanku adminnya susah dihubungi dari pengalaman pertama ya,0,train,negative
jujur ya barang datang dalam kondisi jelek dari pengalaman pertama sih,0,train,negative
kalau dari pengalamanku pengiriman terlambat untuk harga segini.,0,train,negative
buatku worth it banget buat dibeli dari pengalaman pertama,2,train,positive
kalau dari pengalamanku barang ini standar untuk harga segini ya,1,train,neutral
kalau dari pengalamanku kualitasnya lumayan menurutku,1,train,neutral
buatku packaging rapi dan aman untuk harga segini banget,2,train,positive
buatku pengiriman tepat waktu buat pemakaian harian,2,train,positive
barang datang dalam kondisi jelek untuk harga segini sih...,0,train,negative
menurutku worth it bgt buat dibeli dari segi fitur,2,train,positive
kalau dari pengalamanku pengiriman tepat waktu banget,2,train,positive
overall masih oke untuk harga segini ya,1,train,neutral
buatku recommended banget dari segi fitur ya,2,train,positive
buatku fiturnya jalan sesuai deskripsi buat pemakaian harian buatku,1,train,neutral
jujur ya produk ini standar dari segi fitur!,1,train,neutral
pelayanannya sangat lambat buat pemakaian harian banget,0,train,negative
review singkat pelayanannya cukup biasa menurutku,1,train,neutral
