text,label
kalau dari pengalamanku overall masih oke untuk harga segini,1
jujur ya adminnya susah dihubungi!,0
kalau dari pengalamanku overall masih oke untuk harga segini...,1
produk ini beneran bagus buat pemakaian harian,2
buatku produk ini standar dari pengalaman pertama sih,1
buatku recommended banget dari segi fitur sih,2
kalau dari pengalamanku kualitasnya mantap dari segi fitur buatku.,2
buatku packaging rusak waktu sampai untuk harga segini buatku,0
tidak recommended buat pemakaian harian buatku,0
kalau dari pengalamanku dipakai harian tetap nyaman dari pengalaman pertama sih,2
buatku adminnya responsif dan ramah sih,2
buatku fiturnya sangat membantu buat pemakaian harian,2
overall masih oke untuk harga segini buat pemakaian harian ya!,1
buatku barang ini standar dari pengalaman pertama sih...,1
kalau dari pengalamanku fiturnya cukup membantu sih,1
review singkat kwalitasnya lumayan buat pemakaian harian banget,1
menurutku harga tidak sebanding dari segi fitur sih,0
review singkat saya tidak puas untuk harga segini sih,0
jujur ya packaging rusak waktu sampai dari segi fitur bgt,0
kalau dari pengalamanku pengiriman sesuai estimasi buat pemakaian harian menurutku,1
menurutku sejauh ini aman tapi belum spesial.,1
review singkat servis cukup biasa dari pengalaman pertama,1
kalau dari pengalamanku harga tidak sebanding dari pengalaman pertama sih,0
review singkat fiturnya cukup membantu untuk harga segini,1
buatku harga masih oke untuk harga segini menurutku,1
jujur ya dipakai sebentar langsung bermasalah dari pengalaman pertama menurutku,0
review singkat produk ini standar untuk harga segini menurutku,1
buatku pelayanan sangat lambat ya,0
review singkat saya suka hasilnya buat pemakaian harian sih,2
review singkat harga masih oke dari pengalaman pertama,1
menurutku pelayanan cukup biasa dari pengalaman pertama.,1
harga masih oke banget,1
buatku produk ini sangat bagus dari segi fitur,2
kalau dari pengalamanku packaging rusak waktu sampai dari pengalaman pertama sih,0
kalau dari pengalamanku pelayanan cukup biasa dari segi fitur!,1
review singkat dipakai harian tetap nyaman untuk harga segini buatku,2
jujur ya fiturnya sering error buat pemakaian harian sih,0
kalau dari pengalamanku saya suka hasilnya dari pengalaman pertama banget,2
kualitasnya lumayan buat pemakaian harian menurutku.,1
jujur ya kwalitasnya lumayan dari pengalaman pertama ya...,1
jujur ya adminnya responsif dan ramah untuk harga segini banget.,2
jujur ya pengalaman saya biasa saja dari pengalaman pertama ya,1
review singkat recommended banget untuk harga segini buatku,2
review singkat produk ini standar untuk harga segini bgt!,1
buatku pengalaman saya biasa saja untuk harga segini menurutku,1
kalau dari pengalamanku dipakai harian tetap nyaman menurutku!,2
harga tidak sebanding buat pemakaian harian ya,0
pelayanan sangat lambat,0
kalau dari pengalamanku harga sesuai kualitas buatku,2
jujur ya fiturnya sering error ya,0
buatku fiturnya cukup membantu dari pengalaman pertama banget,1
jujur ya servis sangat lambat dari pengalaman pertama,0
buatku fiturnya jalan sesuai deskripsi dari pengalaman pertama ya,1
buatku barang datang dalam kondisi jelek dari segi fitur banget,0
review singkat tidak recommended untuk harga segini ya,0
buatku pengiriman terlambat dari pengalaman pertama menurutku,0
harga tidak sebanding untuk harga segini banget.,0
kalau dari pengalamanku adminnya susah dihubungi dari pengalaman pertama ya,0
jujur ya barang datang dalam kondisi jelek dari pengalaman pertama sih,0
kalau dari pengalamanku pengiriman terlambat untuk harga segini.,0
buatku worth it banget buat dibeli dari pengalaman pertama,2
kalau dari pengalamanku barang ini standar untuk harga segini ya,1
kalau dari pengalamanku kualitasnya lumayan menurutku,1
buatku packaging rapi dan aman untuk harga segini banget,2
buatku pengiriman tepat waktu buat pemakaian harian,2
barang datang dalam kondisi jelek untuk harga segini sih...,0
menurutku worth it bgt buat dibeli dari segi fitur,2
kalau dari pengalamanku pengiriman tepat waktu banget,2
overall masih oke untuk harga segini ya,1
buatku recommended banget dari segi fitur ya,2
buatku fiturnya jalan sesuai deskripsi buat pemakaian harian buatku,1
jujur ya produk ini standar dari segi fitur!,1
pelayanannya sangat lambat buat pemakaian harian banget,0
review singkat pelayanannya cukup biasa menurutku,1
buatku pengiriman normal tidak cepat tidak lambat buat pemakaian harian menurutku,1
hasilnya tidak buruk tidak istimewa untuk harga segini ya,1
menurutku tidak recommended sih,0
jujur ya packaging rapi dan aman dari segi fitur buatku,2
kalau dari pengalamanku harga sesuai kualitas untuk harga segini ya,2
jujur ya servis cepat dan memuaskan dari pengalaman pertama menurutku,2
buatku kualitasnya lumayan dari pengalaman pertama,1
jujur ya kwalitasnya buruk dari segi fitur menurutku,0
jujur ya saya suka hasilnya untuk harga segini,2
buatku kualitasnya lumayan sih,1
menurutku gak recommended buat pemakaian harian banget,0
menurutku dipakai harian tetap nyaman buat pemakaian harian menurutku,2
fiturnya beneran membantu buat pemakaian harian buatku,2
jujur ya pengalaman saya biasa saja dari pengalaman pertama buatku...,1
menurutku kualitasnya lumayan untuk harga segini buatku,1
kalau dari pengalamanku harga ga sebanding buat pemakaian harian menurutku,0
review singkat pengalaman saya biasa saja dari segi fitur,1
jujur ya fiturnya sangat membantu dari segi fitur,2
buatku tidak recommended dari segi fitur ya,0
packaging rapi dan aman dari pengalaman pertama,2
menurutku produk ini sangat bagus ya.,2
buatku pelayanan sangat lambat dari segi fitur banget,0
menurutku dipakai harian tetap nyaman ya,2
kalau dari pengalamanku harga tidak sebanding banget,0
jujur ya ga recommended untuk harga segini menurutku,0
jujur ya dipakai harian tetap nyaman banget,2
dipakai sebentar langsung bermasalah ya,0
kalau dari pengalamanku worth it bnget buat dibeli buat pemakaian harian,2
review singkat fiturnya jalan sesuai deskripsi buat pemakaian harian banget,1
jujur ya pengalaman saya biasa saja buat pemakaian harian bnget,1
review singkat harga masih oke dari pengalaman pertama banget,1
review singkat servis cepat dan memuaskan buatku,2
review singkat packaging rusak waktu sampai dari pengalaman pertama banget...,0
jujur ya pengiriman normal tidak cepat tidak lambat buatku,1
jujur ya adminnya susah dihubungi buat pemakaian harian sih,0
pengalaman saya biasa saja buat pemakaian harian banget,1
kalau dari pengalamanku dipakai sebentar langsung bermasalah dari segi fitur buatku,0
jujur ya dipakai harian tetap nyaman buat pemakaian harian menurutku,2
kalau dari pengalamanku saya tidak puas untuk harga segini menurutku,0
review singkat sejauh ini aman tapi belum spesial menurutku.,1
buatku sejauh ini aman tapi belum spesial buat pemakaian harian ya,1
review singkat fiturnya sangat membantu buat pemakaian harian!,2
kalau dari pengalamanku produk ini standar ya...,1
harga sesuai kualitas dari segi fitur bgt,2
jujur ya servis cukup biasa dari segi fitur buatku,1
jujur ya kwalitasnya buruk,0
menurutku kwalitasnya buruk untuk harga segini,0
menurutku pelayanan cukup biasa untuk harga segini bgt,1
jujur ya saya nggak puas dari segi fitur ya,0
kalau dari pengalamanku produk ini standar dari pengalaman pertama ya,1
review singkat sejauh ini aman tapi belum spesial buat pemakaian harian menurutku,1
dipakai sebentar langsung bermasalah dari segi fitur banget,0
menurutku kualitasnya lumayan dari segi fitur sih,1
menurutku packaging rusak waktu sampai,0
packaging rapi dan aman dari segi fitur menurutku,2
fiturnya sering error buat pemakaian harian,0
kualitasnya buruk buatku,0
buatku overall masih oke untuk harga segini dari pengalaman pertama sih...,1
menurutku fiturnya sangat membantu untuk harga segini menurutku,2
menurutku fiturnya sering error untuk harga segini!,0
buatku fiturnya sangat membantu untuk harga segini banget...,2
jujur ya fiturnya cukup membantu untuk harga segini ya,1
kalau dari pengalamanku kualitasnya lumayan menurutku,1
review singkat adminnya responsif dan ramah.,2
buatku worth it banget buat dibeli untuk harga segini banget...,2
kalau dari pengalamanku saya suka hasilnya dari segi fitur menurutku,2
jujur ya adminnya responsif dan ramah dari segi fitur buatku,2
jujur ya hasilnya tidak buruk tidak istimewa dari pengalaman pertama menurutku,1
jujur ya tidak recommended dari segi fitur menurutku,0
menurutku harga gak sebanding untuk harga segini bgt,0
menurutku harga sesuai kualitas dari pengalaman pertama sih,2
menurutku overall masih oke untuk harga segini menurutku,1
review singkat packaging rusak waktu sampai untuk harga segini ya,0
review singkat fiturnya sering error dari pengalaman pertama,0
menurutku packaging rapi dan aman ya,2
jujur ya saya tidak puas untuk harga segini ya,0
produk ini mengecewakan buat pemakaian harian menurutku,0
kalau dari pengalamanku packaging rusak waktu sampai untuk harga segini ya,0
fiturnya cukup membantu bgt,1
